Year,Country,Avg Temperature (°C),CO2 Emissions (Tons/Capita),Sea Level Rise (mm),Rainfall (mm),Population,Renewable Energy (%),Extreme Weather Events,Forest Area (%)
2006,UK,8.9,,3.1,1441,530911230,20.4,14,59.8
2019,USA,31.0,,4.2,2407,,49.2,8,31.0
2014,France,33.9,2.8,2.2,,441101758,33.3,9,35.5
2020,China,32.3,1.4,2.7,2100,1202028857,49.4,12,47.2
2022,UK,27.8,16.6,1.5,1966,980305187,8.2,4,43.4
2020,Brazil,26.7,12.2,1.8,762,1106863791,46.8,0,69.1
2003,USA,27.4,1.8,2.2,766,798905927,27.4,10,14.6
2023,India,31.0,17.6,2.0,2444,365927452,25.1,8,20.6
2021,France,21.9,7.1,2.3,2401,680925261,37.9,4,52.4
2020,China,19.1,19.8,4.0,2152,1074542897,12.8,0,24.1
2001,Canada,21.3,12.7,3.3,1944,1189649940,21.3,3,26.2
2023,France,9.8,10.9,4.9,545,1311466901,33.7,3,49.3
2005,India,7.7,6.1,4.0,1219,,21.3,9,21.7
2000,India,20.9,15.9,2.6,1100,1237433800,26.4,8,61.3
2021,USA,28.9,13.3,1.8,617,1019475941,24.4,6,16.3
2011,UK,13.8,5.4,2.3,2663,,40.8,,51.6
2016,China,32.4,4.8,3.2,759,1358197397,31.8,9,41.1
2009,Japan,34.0,10.0,3.3,1598,176809981,44.9,1,27.9
2015,USA,10.6,14.9,1.1,2003,52552633,23.5,10,35.4
2014,Japan,18.9,10.7,4.8,2852,214294469,32.2,9,27.9
2018,UK,22.9,17.4,3.0,865,531510898,23.8,5,19.8
2019,Canada,21.8,1.0,4.9,2524,1395185778,5.8,1,51.0
2002,,11.8,14.0,3.0,2976,367803209,44.3,13,51.0
2018,UK,24.5,18.3,4.1,1246,78354231,14.5,9,56.7
2006,USA,14.8,9.6,3.7,2914,772375173,38.1,11,60.5
2020,China,22.7,3.2,4.1,812,491426196,19.4,0,44.8
2003,India,18.9,19.0,4.4,1990,322675191,43.3,12,11.5
2017,China,16.9,15.9,2.6,1297,456955256,23.3,4,53.3
2001,Japan,24.7,3.1,3.9,1219,838339418,5.4,9,45.4
2019,India,27.7,5.1,4.5,2273,1097734281,5.9,13,43.6
