Avg Temperature (°C),CO2 Emissions (Tons/Capita),Sea Level Rise (mm),Rainfall (mm),Population,Renewable Energy (%),Extreme Weather Events,Forest Area (%),CO2_per_Person,Sustainability_Index
31.2,14.6,3.7,803.0,255339962.0,27.4,9.0,21.7,3727963445.2,24.549999999999997
17.15,11.350000000000001,3.4499999999999997,1492.0,623329603.5,20.6,12.5,44.65,6630522634.1,32.625
15.5,9.6,3.0,1702.5,660891895.0,32.0,7.0,18.05,7747782066.7,25.025
17.45,12.75,3.3,1862.5,533033990.5,34.65,8.0,41.25,8519033303.200001,37.95
16.4,10.1,3.8,1641.0,681529141.0,27.4,7.0,27.7,6883444324.099999,27.549999999999997
34.4,5.0,3.7,2132.0,104922177.0,29.3,3.0,46.9,524610885.0,38.1
22.233333333333334,11.733333333333333,2.6999999999999997,2343.3333333333335,769149289.0,28.099999999999998,5.0,41.666666666666664,12732291863.666666,34.88333333333333
25.3,19.9,2.3,2051.0,196111561.0,39.9,3.0,24.0,3902620063.8999996,31.95
23.080000000000002,8.86,3.7600000000000002,1733.4,624878916.1,31.82,5.0,53.720000000000006,5686411122.2300005,42.769999999999996
31.5,9.3,3.6,1149.0,172465953.0,23.7,9.0,15.4,1603933362.9,19.55
16.419999999999998,12.26,3.6,1668.4,774635388.0,21.64,5.2,37.18,8656924098.66,29.410000000000004
22.47142857142857,9.585714285714285,3.1571428571428575,1935.857142857143,920252099.7142857,24.385714285714283,8.571428571428571,37.0,9148107573.171429,30.692857142857143
22.5,11.600000000000001,2.1666666666666665,2278.0,570872848.3333334,47.56666666666666,6.0,27.03333333333333,5643909040.433333,37.300000000000004
23.233333333333334,14.566666666666668,3.133333333333333,2071.0,564851910.6666666,22.766666666666666,9.333333333333334,43.63333333333333,8321226797.733333,33.199999999999996
21.8,8.299999999999999,2.8666666666666667,1845.3333333333333,691796437.3333334,34.699999999999996,3.6666666666666665,38.800000000000004,5961450684.433333,36.75
17.75,14.3,3.3,1394.5,1069665487.5,13.7,6.0,39.65,16116236771.1,26.675
24.660000000000004,9.24,3.1,1264.2,648286561.4,32.76,8.2,38.779999999999994,7223033619.539999,35.769999999999996
13.299999999999999,10.133333333333333,3.2000000000000006,2142.0,741458331.3333334,23.900000000000002,6.0,46.300000000000004,5026524427.8,35.1
16.3,6.88,3.04,2062.6,564449890.6,26.96,6.2,37.1,2665505982.6400003,32.03
21.0,19.8,1.5,1519.0,341217904.0,34.7,5.0,63.4,6756114499.2,49.05
22.5,9.7,3.02,1373.4,1144944834.4,36.92,3.6,43.480000000000004,10435854415.8,40.2
27.5,14.6,3.2,2320.0,552258722.0,14.8,9.0,59.3,8062977341.2,37.05
18.4,9.5,4.6,1691.0,302427829.0,30.3,12.0,36.2,2873064375.5,33.25
19.35,13.1,2.7,2351.5,399203792.5,29.6,10.5,40.4,4919877287.3,35.0
19.3,8.85,2.65,1383.0,414931290.5,22.75,8.5,42.1,3219692178.45,32.425
