Coin Name,Price,1h,24h,7d,30d,24h Volume,Circulating Supply,Total Supply,Market Cap,Price_to_MarketCap_Ratio,Volatility_Index
0x Protocol,0.39,-0.5,-1.6,-27.4,80.1,55447475.0,92825000.0,1.2,36529946.0,1.06761723655436e-08,-1.05
0x0.ai: AI Smart Contract,0.12,0.2,7.0,6.3,34.8,1458348.0,891250000.0,891000000.0,108787347.0,1.1030694589877258e-09,3.6
1inch,0.34,0.5,-1.5,-6.0,28.2,30902018.0,1040979121.0,1.5,356400022.0,9.539842284297054e-10,-0.5
A Hunters Dream,0.615,0.4,0.5,-15.9,21.5,1671632.0,636666666666667.0,667000000000000.0,42293355.0,1.4541291415637278e-08,0.45
AIOZ Network,0.06,5.5,1.1,163.3,390.1,5746712.0,991544442.0,120000000.0,56902742.0,1.0544307337597193e-09,3.3
ALEX Lab,0.615,-0.6,4.9,14.6,23.5,1149342.0,638100028.0,638000000.0,40978452.0,1.5007887560027888e-08,2.1500000000000004
APENFT,0.615,-0.3,-0.4,-2.7,21.5,6821827.0,990105682877398.0,1000000000000000.0,305485532.0,2.013188631139494e-09,-0.35
API3,1.33,0.3,-4.8,-3.5,22.8,9551711.0,97192405.0,126000000.0,129133174.0,1.0299444819655715e-08,-2.25
ARK,1.55,-0.6,-3.0,-5.1,252.0,5746712.0,354412760.0,120000000.0,274980204.0,5.636769401771191e-09,-1.8
ARPA,0.05,0.3,-1.6,-4.5,12.8,33193811.0,982174603.0,2000000000.0,47316066.0,1.0567235238872141e-09,-0.65
Aave,92.53,-0.6,4.3,-3.5,21.5,169071815.0,14640360.0,120000000.0,1353296683.0,6.83737728484479e-08,1.8499999999999999
Aavegotchi,0.79,0.2,-2.8,-3.5,-0.5,1970244.0,51157239.0,120000000.0,40156513.0,1.967302290415505e-08,-1.2999999999999998
Acala,0.06,-1.2,-5.9,-3.5,23.4,14792690.0,828566666.0,1.03,49055159.0,1.2231129451644424e-09,-3.5500000000000003
Access Protocol,0.615,0.2,-3.4,-4.8,-3.0,5746712.0,30558805084.0,86.9,64869956.0,9.480505890893466e-09,-1.5999999999999999
Adventure Gold,0.83,0.7,3.3,-3.5,1.9,39560499.0,77280001.0,77.3,64496633.0,1.2868888830212268e-08,2.0
Aergo,0.16,0.2,-3.7,-18.1,21.5,7521953.0,445000000.0,500000000.0,70063675.0,2.2836369916365365e-09,-1.75
Agoric,0.13,-0.1,-3.1,-10.5,39.2,252239.0,649159296.0,1.06,87192654.0,1.4909512904607767e-09,-1.6
AhaToken,0.01,-0.2,-3.9,-8.3,8.6,5746712.0,4424036536.0,7.77,98370357.0,1.0165664032305992e-10,-2.05
AirTor Protocol,0.73,5.1,18.2,-63.9,21.5,16339635.0,73271612.0,100000000.0,52987478.0,1.3776839879037081e-08,11.649999999999999
Akash Network,1.66,-0.6,-1.6,71.2,90.5,8343178.0,221870453.0,222000000.0,98370357.0,1.6875002293627946e-08,-1.1
Alchemix USD,0.99,0.2,0.4,0.4,0.2,2494799.0,167672845.0,120000000.0,166904250.0,5.931544583196653e-09,0.30000000000000004
Alchemy Pay,0.02,0.2,-4.0,-6.6,35.9,17714784.0,4943691067.0,10000000000.0,92350829.0,2.1656546255800259e-10,-1.9
