iso,country,continent,2040,2041,2042,2043,2044
CHN,China,Asia,11750.49,11973.63,12107.80,12707.32,12715.91
USA,United States,North America,5887.04,5764.16,5229.09,5519.98,5604.33
IND,India,Asia,3438.38,3440.96,3259.80,3517.19,3737.40
RUS,Russia,Europe,1771.73,1785.97,1695.74,1872.58,1821.21
BRA,Brazil,South America,1453.09,1474.99,1478.00,1539.96,1537.74
IDN,Indonesia,Asia,1597.62,1867.07,1435.34,1436.75,1530.41
JPN,Japan,Asia,1160.60,1119.70,1058.63,1074.45,1043.70
IRN,Iran,Asia,870.79,904.67,923.88,992.44,1003.54
SAU,Saudi Arabia,Asia,702.43,,708.75,730.50,775.38
CAN,Canada,North America,788.58,780.76,725.88,736.54,749.90
COD,Democratic Republic of the Congo,Africa,692.60,697.86,700.38,701.41,700.17
DEU,Germany,Europe,789.70,738.79,683.10,705.52,695.85
MEX,Mexico,North America,665.19,682.70,623.23,634.79,636.97
KOR,South Korea,Asia,690.90,668.05,625.27,646.94,626.65
AUS,Australia,Oceania,642.56,628.92,581.54,578.11,574.43
ZAF,South Africa,Africa,568.23,573.98,552.05,546.68,529.95
PAK,Pakistan,Asia,443.82,447.33,480.90,495.84,505.37
TUR,Turkey,Asia,474.88,462.83,475.93,513.92,496.76
VNM,Vietnam,Asia,395.47,450.86,463.71,453.72,454.06
THA,Thailand,Asia,437.24,453.88,455.25,449.76,466.03
ARG,Argentina,South America,408.15,404.78,390.84,407.73,429.28
MYS,Malaysia,Asia,375.22,380.79,370.63,372.74,386.55
GBR,United Kingdom,Europe,467.36,451.93,408.96,426.28,413.58
ITA,Italy,Europe,384.07,375.00,337.10,369.88,370.37
NGA,Nigeria,Africa,351.51,362.99,356.78,363.64,356.48
POL,Poland,Europe,373.97,355.65,338.45,363.65,348.05
EGY,Egypt,Africa,331.43,,316.35,336.58,336.04
FRA,France,Europe,360.56,351.21,313.28,342.03,329.77
KAZ,Kazakhstan,Asia,316.70,306.44,308.02,327.97,328.43
IRQ,Iraq,Asia,260.11,278.05,261.10,278.61,304.89
DZA,Algeria,Africa,278.51,286.03,272.63,279.62,293.04
COL,Colombia,South America,275.72,277.42,271.72,282.02,278.93
ESP,Spain,Europe,313.29,295.86,256.83,273.62,275.30
VEN,Venezuela,South America,372.52,316.81,237.04,238.57,264.40
